Symbol,Name,ISIN,exchange
MUKANDLTD,Mukand Ltd,INE304A01026,BSE
SIV,SIV Industries Ltd,INE639A01017,BSE
BBOX,Black Box Ltd,INE676A01027,BSE
UCAL,Ucal  Ltd,INE139B01016,BSE
VARUNSHIP,Varun Shipping Company Ltd,INE702A01013,BSE
STERHFN,Sterling Holiday Financial Services Ltd,NA          ,BSE
HARRMALAYA,Harrisons Malayalam Ltd,INE544A01019,BSE
WESTPAQ-B,Western Paques India Ltd,NA          ,BSE
FEDERALBNK,Federal Bank Ltd,INE171A01029,BSE
TATASTEEL,Tata Steel Ltd,INE081A01020,BSE
SKFINDIA,SKF India Ltd,INE640A01023,BSE
ASHOKLEY,Ashok Leyland Ltd,INE208A01029,BSE
CUMMINSIND,Cummins India Ltd,INE298A01020,BSE
TATACOMM,Tata Communications Ltd,INE151A01013,BSE
